               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039579,            0.022733,           0.0049825,             0.71446,             0.63788,             0.65964,             0.36727,             0.03402,            0.013561,           0.0085061,           0.0053649,           0.0053649,            0.049965
                  37,            0.037685,            0.021915,           0.0049566,              0.7708,             0.58605,             0.63504,             0.35846,            0.034697,            0.013876,           0.0092705,           0.0055002,           0.0055002,              0.0486
                  38,            0.036328,            0.021929,           0.0051582,              0.7161,             0.57441,             0.61896,             0.33972,            0.032975,            0.013945,           0.0095331,           0.0056347,           0.0056347,            0.047235
                  39,            0.033945,            0.021437,           0.0048245,             0.84501,             0.59276,             0.68061,             0.38256,            0.033167,            0.013715,           0.0076963,           0.0057683,           0.0057683,            0.045868
                  40,            0.037043,            0.022283,           0.0043939,             0.84998,             0.59741,             0.65829,             0.38776,            0.031295,            0.013684,           0.0091912,           0.0059011,           0.0059011,            0.044501
                  41,            0.034295,            0.020999,           0.0045297,             0.81816,             0.55473,             0.63838,             0.36849,             0.03208,            0.013624,           0.0088348,           0.0060331,           0.0060331,            0.043133
                  42,            0.035015,            0.021713,           0.0043017,             0.82552,             0.58471,             0.64147,              0.3459,            0.035082,            0.013844,           0.0083925,           0.0061642,           0.0061642,            0.041764
                  43,            0.034075,            0.021217,           0.0042873,             0.74278,             0.58653,              0.6105,             0.33307,            0.032911,            0.013848,           0.0087607,           0.0062944,           0.0062944,            0.040394
                  44,            0.031948,            0.021421,           0.0037523,             0.69217,             0.58295,             0.62863,             0.34299,            0.032713,            0.013723,           0.0092753,           0.0064237,           0.0064237,            0.039024
                  45,            0.032766,             0.02145,           0.0037006,             0.73217,             0.62175,             0.66311,             0.39664,             0.03095,            0.013431,            0.008214,           0.0065521,           0.0065521,            0.037652
                  46,            0.034052,            0.021423,            0.003428,             0.71467,             0.70062,             0.69651,             0.41112,              0.0322,            0.013916,           0.0076709,           0.0066795,           0.0066795,            0.036279
                  47,            0.033295,            0.020866,           0.0036702,             0.87075,             0.60325,             0.66311,             0.39665,            0.033057,            0.013798,            0.008402,            0.006806,            0.006806,            0.034906
                  48,            0.032913,            0.020376,           0.0033246,             0.79365,             0.57301,             0.64961,             0.38518,             0.03243,            0.013777,           0.0082328,           0.0069314,           0.0069314,            0.033531
                  49,            0.032741,            0.021463,           0.0032182,             0.78324,             0.57889,             0.60384,             0.34834,            0.032823,            0.013953,            0.010206,           0.0070559,           0.0070559,            0.032156
                  50,            0.030994,            0.021038,           0.0030344,             0.96164,             0.54868,             0.65568,             0.37633,            0.032302,            0.014034,           0.0089805,           0.0071794,           0.0071794,            0.030779
                  51,            0.031152,            0.020715,           0.0032796,             0.81883,             0.56511,             0.66618,             0.38176,             0.03304,            0.014335,           0.0078921,           0.0073018,           0.0073018,            0.029402
                  52,            0.031825,             0.02119,           0.0030902,              0.7582,             0.60526,             0.62837,              0.3772,            0.031223,            0.014316,           0.0094013,           0.0074232,           0.0074232,            0.028023
                  53,             0.03054,            0.020043,           0.0030034,             0.86207,             0.58721,             0.66461,             0.38304,             0.03308,             0.01432,           0.0088168,           0.0075435,           0.0075435,            0.026644
                  54,            0.030042,            0.021169,           0.0029033,             0.74736,             0.60448,             0.64861,             0.38737,            0.031768,            0.014166,           0.0086961,           0.0076628,           0.0076628,            0.025263
                  55,            0.028629,             0.02019,           0.0028951,             0.65653,             0.60119,             0.61665,             0.34264,            0.033759,            0.014531,           0.0099428,           0.0077809,           0.0077809,            0.023881
                  56,            0.029702,            0.021096,           0.0031395,             0.86199,             0.55876,              0.6236,               0.394,            0.030914,            0.013798,           0.0098274,           0.0078979,           0.0078979,            0.022498
                  57,             0.02715,            0.019274,           0.0027616,             0.81454,             0.61293,             0.68123,             0.41503,            0.032549,            0.014754,           0.0082717,           0.0080138,           0.0080138,            0.021114
                  58,            0.029275,            0.020429,           0.0026788,             0.75521,             0.63857,             0.66536,             0.38073,            0.034177,            0.014691,           0.0077647,           0.0081285,           0.0081285,            0.019729
                  59,            0.028716,            0.019902,           0.0027379,             0.75117,             0.54794,             0.61149,             0.34294,            0.033796,            0.014713,           0.0097565,           0.0082421,           0.0082421,            0.018342
                  60,            0.027844,            0.020518,           0.0026597,             0.87114,             0.55901,             0.66661,             0.39824,             0.03085,            0.013987,           0.0087934,           0.0083545,           0.0083545,            0.016954
                  61,            0.028264,            0.020478,           0.0025933,              0.7354,             0.67017,             0.68954,              0.4084,            0.031572,            0.014864,           0.0084086,           0.0084657,           0.0084657,            0.015566
                  62,            0.025947,            0.019738,           0.0025429,             0.77565,             0.60231,             0.65956,             0.38801,            0.031186,            0.014809,           0.0082174,           0.0085757,           0.0085757,            0.014176
                  63,            0.026119,            0.019444,            0.002323,             0.80665,             0.55469,             0.63192,             0.37452,            0.031452,            0.014662,            0.010644,           0.0086844,           0.0086844,            0.012784
                  64,            0.026488,            0.019838,           0.0027297,             0.75233,             0.58675,              0.6156,             0.37892,            0.030616,            0.014635,           0.0099607,           0.0087919,           0.0087919,            0.011392
                  65,            0.025432,            0.019755,           0.0026304,             0.70288,             0.54852,             0.62342,             0.37451,            0.030608,            0.014674,           0.0098683,           0.0088982,           0.0088982,           0.0099982
                  66,            0.026402,            0.019466,           0.0024734,             0.80561,              0.5463,             0.60634,             0.35934,            0.032149,            0.015225,            0.010145,           0.0089673,           0.0089673,           0.0089673
                  67,            0.026282,            0.019495,           0.0026553,             0.82661,             0.60278,              0.6693,             0.39893,            0.031598,            0.014571,           0.0081146,           0.0089673,           0.0089673,           0.0089673
                  68,            0.026041,            0.020311,           0.0026382,              0.7361,             0.55652,             0.61964,             0.38266,             0.03087,            0.014971,           0.0090416,           0.0089371,           0.0089371,           0.0089371
                  69,            0.025796,            0.020277,           0.0024909,             0.59714,              0.5973,             0.59509,             0.35952,            0.032365,             0.01581,           0.0084717,           0.0089065,           0.0089065,           0.0089065
                  70,            0.024473,            0.018981,           0.0023073,             0.79849,             0.61822,             0.66704,             0.39261,            0.031431,            0.014669,           0.0085883,           0.0088755,           0.0088755,           0.0088755
                  71,            0.024866,            0.018912,           0.0024159,             0.77626,             0.66269,             0.68148,             0.41161,            0.030311,            0.014268,           0.0082504,           0.0088442,           0.0088442,           0.0088442
                  72,            0.024438,            0.019766,           0.0023452,             0.75783,             0.63591,             0.65842,              0.4091,            0.030545,             0.01438,           0.0087844,           0.0088124,           0.0088124,           0.0088124
