               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.076326,            0.046267,            0.018494,             0.76449,             0.11212,            0.065513,            0.017371,            0.077285,            0.025629,            0.019997,           0.0020857,           0.0020857,            0.080586
                  36,            0.078009,            0.044415,            0.018407,             0.41945,             0.12364,             0.06183,            0.014987,            0.080034,             0.03079,             0.02023,           0.0021402,           0.0021402,             0.08004
                  37,            0.078977,            0.044235,            0.017646,             0.83521,             0.12727,             0.11703,            0.034859,            0.070343,            0.026877,            0.019692,           0.0021943,           0.0021943,            0.079494
                  38,            0.074181,            0.046083,            0.018227,             0.77744,             0.12485,            0.081235,            0.022139,            0.070643,            0.027734,            0.019313,           0.0022481,           0.0022481,            0.078948
                  39,             0.07605,            0.042379,            0.017394,             0.44041,             0.16364,            0.093048,            0.026266,            0.068313,              0.0245,             0.01892,           0.0023015,           0.0023015,            0.078402
                  40,            0.072978,            0.042995,            0.018239,             0.50968,             0.15998,             0.15878,            0.051251,            0.066688,            0.023934,            0.018994,           0.0023547,           0.0023547,            0.077855
                  41,            0.072626,            0.042667,            0.017161,             0.81836,             0.17818,             0.13732,            0.043228,            0.063261,             0.02583,            0.018758,           0.0024075,           0.0024075,            0.077307
                  42,            0.074645,            0.042871,             0.01769,             0.83596,             0.16909,             0.15176,            0.049331,              0.0636,            0.025022,            0.018738,           0.0024599,           0.0024599,             0.07676
                  43,            0.072811,             0.04185,            0.017321,             0.17027,             0.17091,             0.15034,            0.052612,            0.065409,            0.025132,            0.018053,            0.002512,            0.002512,            0.076212
                  44,              0.0727,             0.04178,            0.017763,             0.49116,                0.18,             0.15821,            0.056819,            0.063658,            0.025938,            0.018269,           0.0025638,           0.0025638,            0.075664
                  45,            0.072617,            0.040358,            0.016805,             0.82953,             0.17212,              0.1421,            0.041724,            0.063661,            0.022755,            0.017739,           0.0026151,           0.0026151,            0.075115
                  46,            0.073526,            0.039718,            0.016311,             0.22169,             0.17879,             0.19972,            0.075252,            0.060927,            0.023289,             0.01818,           0.0026661,           0.0026661,            0.074566
                  47,            0.069091,            0.042172,            0.016086,             0.80564,             0.18182,              0.1479,            0.049854,            0.063952,            0.023611,            0.017487,           0.0027167,           0.0027167,            0.074017
                  48,            0.072124,            0.039519,            0.016217,             0.61283,             0.19658,             0.22426,            0.087402,            0.059496,            0.022611,            0.017176,           0.0027669,           0.0027669,            0.073467
                  49,            0.071898,            0.039979,            0.016397,             0.86248,             0.19091,             0.19745,            0.074778,            0.058899,             0.02399,            0.017179,           0.0028167,           0.0028167,            0.072917
                  50,            0.068478,             0.04008,            0.016328,             0.29585,             0.22232,             0.15783,            0.049023,            0.061442,             0.02557,               0.017,           0.0028661,           0.0028661,            0.072366
                  51,            0.069566,             0.03859,            0.016021,             0.33486,             0.21804,             0.19231,            0.077177,            0.062138,            0.022272,            0.016802,           0.0029151,           0.0029151,            0.071815
                  52,            0.068956,            0.041671,            0.016388,             0.52475,             0.12343,             0.12939,             0.04357,            0.070808,            0.026487,            0.018657,           0.0029637,           0.0029637,            0.071264
                  53,            0.068231,             0.04054,            0.015968,             0.34903,             0.16767,             0.15682,            0.056921,             0.06693,            0.023819,            0.017383,           0.0030118,           0.0030118,            0.070712
                  54,            0.070899,            0.038562,            0.015067,             0.55817,             0.16724,             0.12182,            0.038671,            0.071287,            0.024067,            0.017083,           0.0030595,           0.0030595,             0.07016
                  55,            0.068633,             0.03974,            0.015396,              0.7057,              0.2168,             0.20441,            0.078526,            0.063182,            0.022794,            0.015955,           0.0031068,           0.0031068,            0.069607
                  56,            0.067483,            0.038076,            0.014737,             0.23283,             0.26457,             0.21169,            0.077853,            0.058854,            0.023031,            0.015949,           0.0031536,           0.0031536,            0.069054
                  57,            0.064454,            0.038373,            0.013858,             0.24567,             0.26001,             0.19393,            0.070748,            0.057874,            0.021211,            0.015056,              0.0032,              0.0032,              0.0685
                  58,            0.064885,            0.038851,             0.01406,             0.71515,             0.25708,             0.26392,             0.11041,            0.056096,            0.021648,            0.015011,           0.0032459,           0.0032459,            0.067946
                  59,            0.066908,            0.037843,            0.013246,             0.24919,             0.15156,             0.14872,            0.056968,            0.065755,            0.027837,            0.017194,           0.0032913,           0.0032913,            0.067391
                  60,            0.068163,            0.039826,            0.014574,             0.42921,            0.061212,            0.044599,            0.014051,              0.0807,              0.0322,            0.021054,           0.0033363,           0.0033363,            0.066836
                  61,            0.066307,            0.038965,            0.013953,             0.61904,             0.15936,             0.14728,            0.049517,            0.064652,            0.026026,            0.016987,           0.0033808,           0.0033808,            0.066281
                  62,            0.063479,            0.037398,            0.012976,             0.36736,              0.1934,             0.19052,            0.075101,             0.06024,            0.024371,            0.017751,           0.0034248,           0.0034248,            0.065725
                  63,            0.067288,            0.038869,            0.012724,             0.57421,             0.17986,             0.17941,            0.070811,            0.059954,            0.023587,            0.016701,           0.0034683,           0.0034683,            0.065168
                  64,            0.062768,            0.037433,            0.012202,             0.64589,             0.27006,             0.25708,            0.098998,             0.05701,            0.021581,            0.014884,           0.0035114,           0.0035114,            0.064611
                  65,            0.065569,            0.038593,            0.012928,             0.73158,             0.24946,             0.24797,             0.09666,            0.054862,            0.022012,            0.014501,           0.0035539,           0.0035539,            0.064054
                  66,            0.062612,            0.037981,            0.011961,             0.69268,             0.26114,             0.25881,            0.099762,             0.05677,            0.020811,             0.01413,           0.0035959,           0.0035959,            0.063496
                  67,            0.064006,            0.036894,            0.011708,             0.70502,             0.31945,             0.30612,             0.12554,            0.053916,            0.019707,            0.013064,           0.0036374,           0.0036374,            0.062937
                  68,            0.062721,            0.037187,            0.011573,             0.70448,             0.32002,             0.29438,             0.11541,            0.056174,              0.0203,            0.013618,           0.0036784,           0.0036784,            0.062378
                  69,            0.064235,            0.036264,            0.011631,             0.69875,             0.30066,             0.30473,             0.12743,            0.053488,            0.020128,            0.013905,           0.0037188,           0.0037188,            0.061819
                  70,            0.061777,            0.036281,            0.011333,             0.67125,             0.22357,             0.25685,             0.10123,            0.056133,            0.026336,            0.016004,           0.0037588,           0.0037588,            0.061259
                  71,            0.061118,            0.037034,            0.011131,             0.76718,             0.29374,             0.33229,               0.141,            0.052445,            0.020085,            0.012628,           0.0037982,           0.0037982,            0.060698
                  72,            0.058339,            0.034775,            0.010515,             0.70396,              0.3208,             0.32601,             0.14002,            0.052224,            0.019444,            0.012182,            0.003837,            0.003837,            0.060137
                  73,            0.065297,            0.035087,            0.010081,              0.7468,             0.32405,             0.33466,             0.12389,            0.052125,            0.019161,            0.012136,           0.0038753,           0.0038753,            0.059575
                  74,             0.06017,            0.036956,            0.010424,             0.74685,             0.27912,              0.2956,             0.12445,            0.052449,            0.021699,            0.013279,           0.0039131,           0.0039131,            0.059013
                  75,            0.059199,            0.034937,            0.010228,             0.75508,             0.30712,              0.3297,               0.142,            0.052358,            0.020118,            0.012052,           0.0039503,           0.0039503,             0.05845
                  76,            0.059277,            0.036287,           0.0098893,             0.72873,             0.33851,             0.34494,             0.14874,            0.055137,            0.020712,            0.012081,            0.003987,            0.003987,            0.057887
                  77,            0.056023,            0.035026,            0.010262,             0.68262,             0.36872,             0.33545,             0.15598,            0.048985,            0.020221,            0.012604,            0.004023,            0.004023,            0.057323
                  78,            0.059669,            0.034588,           0.0096567,             0.73437,             0.35571,             0.35502,             0.15031,            0.051239,            0.018575,            0.011255,           0.0040586,           0.0040586,            0.056759
                  79,            0.057427,            0.034563,           0.0095272,             0.83092,             0.37621,             0.40237,             0.18074,            0.049229,            0.020027,            0.011377,           0.0040935,           0.0040935,            0.056194
