               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042114,            0.023689,           0.0061579,             0.80095,             0.49805,             0.51575,             0.26392,            0.037064,            0.013838,            0.008543,             0.00429,             0.00429,             0.05999
                  37,            0.045336,             0.02383,            0.006074,             0.90256,             0.49145,             0.54625,             0.27386,            0.038867,             0.01408,           0.0092254,           0.0043982,           0.0043982,            0.058898
                  38,            0.044322,            0.025028,           0.0060351,             0.79554,             0.46664,             0.52549,             0.28776,            0.040945,            0.014115,            0.008329,           0.0045058,           0.0045058,            0.057806
                  39,            0.043069,            0.024361,           0.0057832,             0.87369,             0.49088,             0.56645,             0.30181,            0.037664,            0.013915,           0.0096953,           0.0046127,           0.0046127,            0.056713
                  40,             0.04372,            0.024918,           0.0059186,             0.61088,             0.58707,             0.60069,             0.31918,              0.0375,            0.014032,           0.0090396,            0.004719,            0.004719,            0.055619
                  41,            0.040714,             0.02418,           0.0059647,             0.73815,             0.58834,             0.62564,             0.33728,             0.03613,            0.013977,           0.0084123,           0.0048246,           0.0048246,            0.054525
                  42,            0.040904,            0.024362,            0.005396,             0.86728,             0.54997,             0.58793,             0.30543,            0.036136,            0.014123,           0.0092031,           0.0049294,           0.0049294,            0.053429
                  43,            0.038984,            0.023326,           0.0054298,             0.62487,             0.58276,              0.5986,              0.3151,            0.039967,            0.014593,            0.008811,           0.0050336,           0.0050336,            0.052334
                  44,            0.042307,             0.02401,           0.0052803,             0.67102,             0.64038,             0.61931,             0.31924,            0.036459,            0.014126,           0.0090667,            0.005137,            0.005137,            0.051237
                  45,            0.040114,            0.023943,           0.0053908,             0.76209,             0.55787,             0.59552,             0.31885,            0.037469,             0.01422,           0.0098453,           0.0052398,           0.0052398,             0.05014
                  46,            0.039792,            0.024082,           0.0053365,             0.83473,             0.56665,             0.61711,             0.32477,            0.035806,             0.01381,           0.0097492,           0.0053417,           0.0053417,            0.049042
                  47,            0.038417,            0.023755,           0.0048847,             0.67996,             0.58101,             0.58888,             0.31344,            0.033268,            0.013877,           0.0088514,           0.0054429,           0.0054429,            0.047943
                  48,            0.040173,            0.023497,           0.0047556,             0.72125,             0.60356,             0.61498,              0.3384,             0.03489,            0.014054,           0.0088341,           0.0055433,           0.0055433,            0.046843
                  49,            0.037566,            0.023146,           0.0049776,             0.86953,             0.59392,              0.6488,             0.36695,             0.03549,             0.01384,           0.0081153,           0.0056429,           0.0056429,            0.045743
                  50,            0.036958,            0.023304,           0.0043439,             0.69196,             0.61128,             0.60399,             0.34669,            0.032558,             0.01433,            0.008912,           0.0057416,           0.0057416,            0.044642
                  51,            0.035844,            0.022089,           0.0046335,             0.65954,             0.58258,             0.57901,             0.31316,             0.03381,            0.014186,           0.0091539,           0.0058396,           0.0058396,             0.04354
                  52,            0.038107,            0.023691,           0.0044499,              0.7669,             0.52245,             0.56251,             0.31207,            0.036894,            0.014101,            0.011236,           0.0059367,           0.0059367,            0.042437
                  53,            0.038349,            0.023256,           0.0043696,             0.87419,             0.55523,             0.61615,             0.33341,            0.035265,            0.013689,           0.0090427,            0.006033,            0.006033,            0.041333
                  54,            0.036578,            0.023842,           0.0045206,             0.56517,             0.63814,             0.58681,             0.32506,            0.034854,             0.01369,           0.0089849,           0.0061284,           0.0061284,            0.040228
